lambda_delay,lambda_migration,lambda_resource,lambda_balance,migrate_threshold,cooldown_steps,max_candidates,d_max,queue_penalty_coeff,sensitivity_coeff,migration_state_coeff,migration_hops_coeff,migration_norm_factor,resource_tension_max,allocation_failure_penalty,mean_cost_margin_vs_nearest,mean_failed_gap_vs_nearest,mean_delay_gap_vs_nearest
0.28571428571428575,0.22448979591836735,0.3673469387755102,0.12244897959183673,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.408253430793678,-0.11250000000000004,0.028964979703751226
0.28571428571428575,0.22448979591836735,0.3673469387755102,0.12244897959183673,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.408253430793678,-0.11250000000000004,0.028964979703751226
0.28571428571428575,0.22448979591836735,0.326530612244898,0.163265306122449,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.39298673739762,-0.11250000000000004,0.028964979703751226
0.28571428571428575,0.22448979591836735,0.326530612244898,0.163265306122449,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.39298673739762,-0.11250000000000004,0.028964979703751226
0.27906976744186046,0.2558139534883721,0.32558139534883723,0.13953488372093023,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.377920779202924,-0.11250000000000004,0.04142783511603554
0.2857142857142857,0.22448979591836732,0.2857142857142857,0.20408163265306123,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.377720044001563,-0.11250000000000004,0.028964979703751226
0.2857142857142857,0.22448979591836732,0.2857142857142857,0.20408163265306123,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.377720044001563,-0.11250000000000004,0.028964979703751226
0.2909090909090909,0.23636363636363636,0.3272727272727272,0.14545454545454545,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.36859346151357,-0.11250000000000004,0.028964979703751226
0.2909090909090909,0.23636363636363636,0.3272727272727272,0.14545454545454545,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.36859346151357,-0.11250000000000004,0.028964979703751226
0.2926829268292683,0.2195121951219512,0.34146341463414637,0.14634146341463414,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.367175751446865,-0.11250000000000004,0.028964979703751226
0.2909090909090909,0.23636363636363636,0.2909090909090909,0.18181818181818182,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.35499222557894,-0.11250000000000004,0.028964979703751226
